,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z
982,75707,1,640.0,639.0,633.0,0.0,106.0,-0.0040001334,1.2341092,0.44753003,1.3127545683786073,,,,,,0.46291497,0.06089845,0.43447474
983,66484,0,,,,,,-0.0044928533,1.2340807,0.44761488,1.3127583063024335,733.0,639.0,634.0,0.0,112.0,0.46230388,0.017881202,0.436298
984,75807,1,641.0,640.0,634.0,0.0,121.0,-0.0048393095,1.2336355,0.4479155,1.3124436621869147,,,,,,0.46217537,-0.0282721,0.4405931
985,66584,0,,,,,,-0.0061998195,1.2342769,0.4480133,1.313085603784072,734.0,640.0,635.0,0.0,124.0,0.46211326,-0.083202325,0.44426396
986,75907,1,642.0,641.0,635.0,0.0,126.0,-0.008232013,1.2337927,0.4482313,1.312716042155452,,,,,,0.46126997,-0.1502906,0.44805297
987,66684,0,,,,,,-0.009575317,1.2336073,0.4486483,1.312693390877263,735.0,641.0,636.0,0.0,129.0,0.4603309,-0.19531123,0.4501778
988,76007,1,643.0,642.0,636.0,0.0,136.0,-0.011535655,1.2335628,0.4491131,1.3128263011686314,,,,,,0.45953795,-0.2592194,0.45107162
989,66784,0,,,,,,-0.01311299,1.2340039,0.44894078,1.3131966367181105,736.0,642.0,637.0,0.0,141.0,0.4589104,-0.30278873,0.45243022
990,76107,1,644.0,643.0,637.0,0.0,148.0,-0.014430066,1.2334527,0.4488368,1.3126569281821245,,,,,,0.45886838,-0.35490814,0.4531312
991,66884,0,,,,,,-0.015694765,1.2339033,0.44859004,1.31301053919846,737.0,643.0,638.0,0.0,154.0,0.45757785,-0.4081911,0.45270908
992,76207,1,645.0,644.0,638.0,0.0,162.0,-0.016365958,1.233792,0.44903898,1.31306756173585,,,,,,0.45683998,-0.4695693,0.4505537
993,66984,0,,,,,,-0.016861867,1.2344656,0.44872314,1.3135989082843342,738.0,644.0,639.0,0.0,166.0,0.4562414,-0.49905846,0.4501251
994,76307,1,646.0,645.0,639.0,0.0,170.0,-0.01683476,1.2340474,0.44930917,1.3134059375650866,,,,,,0.4552592,-0.56811637,0.44967458
