,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.computenum2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.computenum13
6233,102257,log0,0,0,0,3404,3275,466
6234,104741,log1,1994,1949,462,0,0,0
6235,102287,log0,0,0,0,3405,3276,466
6236,104771,log1,1995,1950,463,0,0,0
6237,102317,log0,0,0,0,3406,3277,466
6238,104801,log1,1995,1950,463,0,0,0
6239,102347,log0,0,0,0,3407,3278,466
6240,104831,log1,1996,1951,463,0,0,0
6241,102377,log0,0,0,0,3408,3279,466
6242,104861,log1,1997,1952,463,0,0,0
6243,102407,log0,0,0,0,3409,3280,467
6244,104891,log1,1997,1952,463,0,0,0
6245,102437,log0,0,0,0,3410,3281,467
6246,104921,log1,1998,1953,463,0,0,0
6247,102467,log0,0,0,0,3411,3282,467
6248,104951,log1,1998,1953,463,0,0,0
6249,102497,log0,0,0,0,3412,3283,467
6250,104981,log1,1999,1954,464,0,0,0
6251,102527,log0,0,0,0,3413,3284,467
6252,105011,log1,2000,1955,464,0,0,0
6253,102557,log0,0,0,0,3414,3285,467
6254,105041,log1,2000,1955,464,0,0,0
6255,102587,log0,0,0,0,3415,3286,467
6256,105071,log1,2001,1956,464,0,0,0
6257,102617,log0,0,0,0,3416,3287,468
6258,105101,log1,2001,1956,464,0,0,0
6259,102647,log0,0,0,0,3417,3288,468
6260,105131,log1,2002,1957,464,0,0,0
6261,102677,log0,0,0,0,3418,3289,468
6262,105161,log1,2003,1958,465,0,0,0
6263,102707,log0,0,0,0,3419,3290,468
6264,105191,log1,2003,1958,465,0,0,0
6265,102737,log0,0,0,0,3420,3291,468
6266,105221,log1,2004,1959,465,0,0,0
6267,102767,log0,0,0,0,3421,3292,468
6268,105251,log1,2004,1959,465,0,0,0
6269,102797,log0,0,0,0,3422,3293,468
6270,105281,log1,2005,1960,465,0,0,0
6271,102827,log0,0,0,0,3423,3294,469
6272,105311,log1,2006,1961,465,0,0,0
6273,102857,log0,0,0,0,3424,3295,469
6274,105341,log1,2006,1961,465,0,0,0
6275,102887,log0,0,0,0,3425,3296,469
6276,105371,log1,2007,1962,466,0,0,0
6277,102917,log0,0,0,0,3426,3297,469
6278,105401,log1,2007,1962,466,0,0,0
6279,102947,log0,0,0,0,3427,3298,469
6280,105431,log1,2008,1963,466,0,0,0
6281,102977,log0,0,0,0,3428,3299,469
6282,105461,log1,2009,1964,466,0,0,0
6283,103007,log0,0,0,0,3429,3300,469
6284,105491,log1,2009,1964,466,0,0,0
6285,103037,log0,0,0,0,3430,3301,470
6286,105521,log1,2010,1965,466,0,0,0
6287,103067,log0,0,0,0,3431,3302,470
6288,105551,log1,2010,1965,466,0,0,0
6289,103097,log0,0,0,0,3432,3303,470
6290,105581,log1,2011,1966,467,0,0,0
6291,103127,log0,0,0,0,3433,3304,470
6292,105611,log1,2012,1967,467,0,0,0
6293,103157,log0,0,0,0,3434,3305,470
6294,105641,log1,2012,1967,467,0,0,0
6295,103187,log0,0,0,0,3435,3306,470
6296,105671,log1,2013,1968,467,0,0,0
6297,103217,log0,0,0,0,3436,3307,470
6298,105701,log1,2013,1968,467,0,0,0
6299,103247,log0,0,0,0,3437,3308,471
6300,105731,log1,2014,1969,467,0,0,0
6301,103277,log0,0,0,0,3438,3309,471
6302,105761,log1,2015,1970,468,0,0,0
