,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
214,77408,1,,,,,,1.0487927,1.0360396,0.60986924,1.5953948398310742,1488.0,499.0,493.0,0.0,212.0
215,225648,0,501.0,1247.0,1231.0,2.0,214.0,1.053949,1.0450916,0.6095094,1.6045331792829067,,,,,
216,77508,1,,,,,,1.0545539,1.0461378,0.6094985,1.6056078589160196,1488.0,499.0,493.0,0.0,212.0
217,77608,1,,,,,,1.0603416,1.0542018,0.6084558,1.614275148966813,1489.0,500.0,494.0,0.0,214.0
218,225748,0,501.0,1247.0,1231.0,2.0,214.0,1.0607444,1.0560039,0.60951173,1.6161149530191734,,,,,
219,77708,1,,,,,,1.066509,1.0642276,0.60952723,1.6252831303064983,1490.0,501.0,495.0,0.0,214.0
220,225848,0,502.0,1248.0,1232.0,2.0,217.0,1.066854,1.0653641,0.61002296,1.6264397268481554,,,,,
221,225948,0,503.0,1249.0,1233.0,2.0,217.0,1.0680627,1.0664983,0.60963607,1.6278306325957377,,,,,
222,77808,1,,,,,,1.0685459,1.0672985,0.60976666,1.6287209577684632,1490.0,501.0,495.0,0.0,214.0
223,226048,0,503.0,1249.0,1233.0,2.0,217.0,1.0679741,1.0691414,0.61237067,1.6305305280274747,,,,,
224,77908,1,,,,,,1.0672153,1.068717,0.61280817,1.6299197616785615,1491.0,502.0,496.0,0.0,216.0
225,78008,1,,,,,,1.0516099,1.0487534,0.61277264,1.606629170967908,1492.0,503.0,497.0,0.0,219.0
226,226148,0,504.0,1250.0,1234.0,2.0,220.0,1.0496069,1.045286,0.61199045,1.6027569822221435,,,,,
227,226248,0,505.0,1251.0,1235.0,2.0,221.0,-0.11480141,-0.8832043,0.6902105,1.126774036433808,,,,,
228,78108,1,,,,,,1.0203912,1.0040476,0.6070231,1.5549234610123084,1492.0,503.0,497.0,0.0,219.0
229,226348,0,505.0,1251.0,1235.0,2.0,221.0,0.9849748,0.95122325,0.6013261,1.495524699610313,,,,,
230,78208,1,,,,,,0.9806858,0.94398063,0.5999232,1.4875321362233296,1493.0,504.0,498.0,0.0,218.0
231,226448,0,506.0,1252.0,1236.0,2.0,218.0,0.93933266,0.8786408,0.59719324,1.4180956333158201,,,,,
232,78308,1,,,,,,0.93434703,0.8713056,0.59760964,1.4104308143715563,1494.0,505.0,499.0,0.0,210.0
233,226548,0,507.0,1253.0,1237.0,2.0,209.0,0.890574,0.80056477,0.60214806,1.3403761549937967,,,,,
234,78408,1,,,,,,0.88559794,0.7929907,0.6033583,1.3331013528519051,1494.0,505.0,499.0,0.0,210.0
235,226648,0,507.0,1253.0,1237.0,2.0,209.0,0.841993,0.72316885,0.6135385,1.2682093083269723,,,,,
236,78508,1,,,,,,0.8373571,0.7152724,0.6145037,1.261109169882052,1495.0,506.0,500.0,0.0,195.0
237,226748,0,508.0,1254.0,1238.0,2.0,186.0,0.795186,0.6500638,0.6260362,1.2028404157138863,,,,,
238,78608,1,,,,,,-0.11486039,-0.8832466,0.69021404,1.1268153733123363,1496.0,507.0,501.0,0.0,179.0
239,226848,0,509.0,1255.0,1239.0,2.0,175.0,0.7637597,0.6019497,0.63259166,1.160105375964608,,,,,
240,78708,1,,,,,,0.75937206,0.595392,0.63342637,1.154281812631037,1496.0,507.0,501.0,0.0,179.0
241,226948,0,509.0,1255.0,1239.0,2.0,175.0,0.7247753,0.5437672,0.6377687,1.1080302052292794,,,,,
242,78808,1,,,,,,0.72072965,0.5375881,0.6383882,1.1027201495571541,1497.0,508.0,502.0,0.0,168.0
243,227048,0,510.0,1256.0,1240.0,2.0,161.0,0.66709054,0.4579594,0.63974357,1.031507846523427,,,,,
244,78908,1,,,,,,0.6630863,0.4518194,0.63959736,1.0261135289187324,1498.0,509.0,503.0,0.0,155.0
245,227148,0,511.0,1257.0,1241.0,2.0,148.0,0.6271399,0.39711562,0.6386789,0.9792425893258929,,,,,
246,79008,1,,,,,,0.62314034,0.39149705,0.63902235,0.9746401275547348,1498.0,509.0,503.0,0.0,155.0
247,227248,0,511.0,1257.0,1241.0,2.0,148.0,0.58689547,0.33761168,0.6388793,0.9309106777826932,,,,,
248,79108,1,,,,,,0.5829847,0.3313452,0.6387903,0.9261284173007487,1499.0,510.0,504.0,0.0,143.0
249,79208,1,,,,,,0.54692185,0.2766068,0.638903,0.88534281567308,1500.0,511.0,505.0,0.0,134.0
250,227348,0,512.0,1258.0,1242.0,2.0,138.0,0.54308003,0.26876417,0.63730353,0.8793894983868923,,,,,
251,227448,0,513.0,1259.0,1243.0,2.0,129.0,-0.1147161,-0.8830323,0.6895428,1.1262216020120546,,,,,
252,79308,1,,,,,,-0.11476963,-0.8831252,0.68990123,1.1265193620161382,1500.0,511.0,505.0,0.0,134.0
253,227548,0,513.0,1259.0,1243.0,2.0,129.0,0.4730456,0.16232714,0.6409645,0.8129930682635471,,,,,
254,79408,1,,,,,,0.47041315,0.1578665,0.6411249,0.8107104924012956,1501.0,512.0,506.0,0.0,121.0
255,227648,0,514.0,1260.0,1244.0,2.0,117.0,-0.11478765,-0.88322526,0.69022864,1.1268001801254017,,,,,
256,79508,1,,,,,,-0.11480625,-0.8832092,0.69020915,1.1267775678862446,1502.0,513.0,507.0,0.0,110.0
257,79608,1,,,,,,-0.11478261,-0.88314414,0.6899161,1.1265446326400672,1502.0,513.0,507.0,0.0,110.0
258,227748,0,515.0,1261.0,1245.0,2.0,107.0,0.44004676,0.11003576,0.6292556,0.7757007276074448,,,,,
259,79708,1,,,,,,0.44189158,0.11085597,0.6180549,0.7678210120971555,1503.0,514.0,508.0,0.0,103.0
260,227848,0,515.0,1261.0,1245.0,2.0,107.0,0.44268805,0.11139116,0.6167216,0.767284949082833,,,,,
261,79808,1,,,,,,0.45034802,0.12106397,0.6105241,0.7682509500100455,1504.0,515.0,509.0,0.0,103.0
262,227948,0,516.0,1262.0,1246.0,2.0,105.0,0.45142475,0.122309454,0.6098846,0.7685721532091103,,,,,
263,228048,0,517.0,1263.0,1247.0,2.0,106.0,0.46360067,0.1404389,0.6120344,0.7805349090174826,,,,,
264,79908,1,,,,,,0.46497384,0.14125174,0.611771,0.7812915366476145,1504.0,515.0,509.0,0.0,103.0
265,80008,1,,,,,,0.47463667,0.15478973,0.619036,0.7952643746972322,1505.0,516.0,510.0,0.0,105.0
266,228148,0,517.0,1263.0,1247.0,2.0,106.0,0.47543678,0.15629464,0.62020475,0.7969454638617803,,,,,
267,228248,0,518.0,1264.0,1248.0,2.0,109.0,-0.1147866,-0.8831391,0.6899438,1.1265580419338368,,,,,
268,80108,1,,,,,,-0.11478023,-0.8831343,0.68991816,1.1265379582342956,1506.0,517.0,511.0,0.0,110.0
269,80208,1,,,,,,0.48464993,0.1709627,0.6364116,0.8180058263601045,1506.0,517.0,511.0,0.0,110.0
270,228348,0,519.0,1265.0,1249.0,2.0,114.0,0.48482856,0.17102066,0.63677746,0.8184084148188228,,,,,
271,80308,1,,,,,,0.4837287,0.17197357,0.6404088,0.8207873171485749,1507.0,518.0,512.0,0.0,112.0
272,228448,0,519.0,1265.0,1249.0,2.0,114.0,0.48351598,0.17042634,0.6393265,0.8194944952996386,,,,,
273,228548,0,520.0,1266.0,1250.0,2.0,114.0,0.47957158,0.16786514,0.64015007,0.8172880272790888,,,,,
274,80408,1,,,,,,0.47939348,0.16773914,0.6403529,0.8173165677291657,1508.0,519.0,513.0,0.0,110.0
275,80508,1,,,,,,0.47429705,0.16098869,0.6384406,0.8114687039431636,1508.0,519.0,513.0,0.0,110.0
276,228648,0,521.0,1267.0,1251.0,2.0,111.0,0.47367802,0.16102766,0.63896483,0.8115274678696975,,,,,
277,228748,0,521.0,1267.0,1251.0,2.0,111.0,0.4681424,0.15343446,0.6374855,0.8056594799629858,,,,,
278,80608,1,,,,,,0.46725482,0.15408087,0.6386498,0.806189538817292,1509.0,520.0,514.0,0.0,108.0
279,228848,0,522.0,1268.0,1252.0,2.0,109.0,0.46263546,0.14534827,0.6365763,0.8002418785214886,,,,,
280,80708,1,,,,,,0.46196476,0.1449456,0.6368348,0.7999870171996807,1510.0,521.0,515.0,0.0,106.0
281,228948,0,523.0,1269.0,1253.0,2.0,108.0,0.4590628,0.13946852,0.6359034,0.7965948112270109,,,,,
282,80808,1,,,,,,0.45893192,0.13915934,0.6358145,0.796394308067365,1510.0,521.0,515.0,0.0,106.0
283,229048,0,523.0,1269.0,1253.0,2.0,108.0,0.46127385,0.13804056,0.63437897,0.7964078329948796,,,,,
284,80908,1,,,,,,0.46287805,0.1397304,0.63422835,0.797512551010999,1511.0,522.0,516.0,0.0,106.0
285,229148,0,524.0,1270.0,1254.0,2.0,106.0,-0.11484559,-0.8832588,0.6902154,1.1268242818564589,,,,,
286,81008,1,,,,,,0.47913954,0.15795536,0.6297855,0.8069413490588098,1512.0,523.0,517.0,0.0,103.0
287,229248,0,525.0,1271.0,1255.0,2.0,105.0,0.50503445,0.19335237,0.62256503,0.8246406185759649,,,,,
288,81108,1,,,,,,0.5086293,0.19782898,0.6212936,0.8269497171789166,1512.0,523.0,517.0,0.0,103.0
289,81208,1,,,,,,0.54578626,0.24835855,0.6114493,0.8564081150396938,1513.0,524.0,518.0,0.0,107.0
290,229348,0,525.0,1271.0,1255.0,2.0,105.0,-0.114783585,-0.883138,0.68992466,1.1265451757310538,,,,,
291,81308,1,,,,,,0.59564453,0.31458429,0.6029652,0.9040590060534147,1514.0,525.0,519.0,0.0,117.0
292,229448,0,526.0,1272.0,1256.0,2.0,114.0,0.6009677,0.3208716,0.60177416,0.908984541106576,,,,,
293,81408,1,,,,,,0.64951515,0.38665137,0.6027574,0.9667914400800078,1514.0,525.0,519.0,0.0,117.0
294,229548,0,527.0,1273.0,1257.0,2.0,125.0,0.654941,0.39381835,0.603076,0.9735200427190817,,,,,
295,229648,0,527.0,1273.0,1257.0,2.0,125.0,0.69804317,0.45117113,0.60880846,1.0302753955448556,,,,,
296,81508,1,,,,,,0.7085457,0.4653206,0.6108262,1.044829591813315,1515.0,526.0,520.0,0.0,126.0
297,81608,1,,,,,,0.7494777,0.5193628,0.6189622,1.1020747548145182,1516.0,527.0,521.0,0.0,144.0
298,229748,0,528.0,1274.0,1258.0,2.0,137.0,0.754384,0.525999,0.6200526,1.1091597478848674,,,,,
299,229848,0,529.0,1275.0,1259.0,2.0,154.0,-0.114842944,-0.88325804,0.6901798,1.126801608942176,,,,,
300,81708,1,,,,,,-0.11485872,-0.88323194,0.6902114,1.1268021027253996,1516.0,527.0,521.0,0.0,144.0
301,81808,1,,,,,,0.84655344,0.649044,0.63416076,1.2409958441621018,1517.0,528.0,522.0,0.0,156.0
302,229948,0,529.0,1275.0,1259.0,2.0,154.0,0.85100377,0.65433866,0.6338252,1.2466358135035918,,,,,
303,230048,0,530.0,1276.0,1260.0,2.0,164.0,0.88921833,0.7044222,0.632204,1.2986923168152666,,,,,
304,81908,1,,,,,,0.8933107,0.7102695,0.63220924,1.3046744250675966,1518.0,529.0,523.0,0.0,167.0
305,230148,0,531.0,1277.0,1261.0,2.0,176.0,0.9261743,0.7541269,0.62948483,1.3500953105502569,,,,,
306,82008,1,,,,,,0.93035555,0.7592681,0.62879276,1.3555182924264668,1518.0,529.0,523.0,0.0,167.0
