,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
570,48985,log0,859,704,637,52
571,49045,log0,860,705,638,52
572,49105,log0,861,706,639,52
573,49165,log0,862,707,640,52
574,49225,log0,863,708,641,52
575,49285,log0,864,709,642,52
576,49345,log0,865,710,643,52
577,49405,log0,866,711,644,52
578,49465,log0,867,712,645,52
579,49525,log0,868,713,646,52
580,49585,log0,869,714,647,52
581,49645,log0,870,715,648,52
582,49705,log0,871,716,649,52
583,49765,log0,872,717,650,52
584,49825,log0,873,718,651,52
585,49885,log0,874,719,652,52
586,49945,log0,875,720,653,52
587,50005,log0,876,721,654,52
588,50065,log0,877,722,655,52
589,50125,log0,878,723,656,52
590,50185,log0,879,724,657,52
591,50245,log0,880,725,658,52
592,50305,log0,881,726,659,52
593,50365,log0,882,727,660,52
594,50425,log0,883,728,661,52
595,50485,log0,884,729,662,52
596,50545,log0,885,730,663,52
597,50605,log0,886,731,664,52
598,50665,log0,887,732,665,52
599,50725,log0,888,733,666,52
600,50785,log0,889,734,667,52
601,50845,log0,890,735,668,52
602,50905,log0,891,736,669,52
603,50965,log0,892,737,670,52
604,51025,log0,893,738,671,52
605,51085,log0,894,739,672,52
606,51145,log0,895,740,673,52
607,51205,log0,896,741,674,52
608,51265,log0,897,742,675,52
609,51325,log0,898,743,676,52
610,51385,log0,899,744,677,52
611,51445,log0,900,745,678,52
612,51505,log0,901,746,679,52
613,51565,log0,902,747,680,52
614,51625,log0,903,748,681,52
615,51685,log0,904,749,682,52
616,51745,log0,905,750,683,52
617,51805,log0,906,751,684,52
618,51865,log0,907,752,684,52
619,51925,log0,908,753,685,52
620,51985,log0,909,754,686,52
621,52045,log0,910,755,687,52
622,52105,log0,911,756,688,52
623,52165,log0,912,757,689,52
624,52225,log0,913,758,690,52
625,52285,log0,914,759,691,52
626,52345,log0,915,760,692,52
627,52405,log0,916,761,693,52
628,52465,log0,917,762,694,52
629,52525,log0,918,763,695,52
630,52585,log0,919,764,696,52
631,52645,log0,920,765,697,52
632,52705,log0,921,766,698,52
633,52765,log0,922,767,699,52
634,52825,log0,923,768,700,52
635,52885,log0,924,769,701,52
636,52945,log0,925,770,702,52
637,53005,log0,926,771,703,52
638,53065,log0,927,772,704,52
639,53125,log0,928,773,705,52
640,53185,log0,929,774,706,52
641,53245,log0,930,775,707,52
642,53305,log0,931,776,708,52
643,53365,log0,932,777,709,52
644,53425,log0,933,778,710,52
645,53485,log0,934,779,711,52
646,53545,log0,935,780,712,52
647,53605,log0,936,781,713,52
648,53665,log0,937,782,714,52
649,53725,log0,938,783,715,52
650,53785,log0,939,784,716,52
651,53845,log0,940,785,717,52
652,53905,log0,941,786,718,52
653,53965,log0,942,787,719,52
654,54025,log0,943,788,720,52
655,54085,log0,944,789,721,52
656,54145,log0,945,790,722,52
657,54205,log0,946,791,723,52
658,54265,log0,947,792,724,52
659,54325,log0,948,793,725,52
660,54385,log0,949,794,726,52
661,54445,log0,950,795,727,52
662,54505,log0,951,796,728,52
663,54565,log0,952,797,728,53
664,54625,log0,953,798,729,53
665,54685,log0,954,799,730,53
666,54745,log0,955,800,731,53
667,54805,log0,956,801,732,53
668,54865,log0,957,802,733,53
669,54925,log0,958,803,734,53
670,54985,log0,959,804,734,54
671,55045,log0,960,805,734,55
672,55105,log0,961,806,734,56
673,55165,log0,962,807,735,56
674,55225,log0,963,808,736,56
675,55285,log0,964,809,737,56
676,55345,log0,965,810,738,56
677,55405,log0,966,811,739,56
678,55465,log0,967,812,740,56
679,55525,log0,968,813,741,56
680,55585,log0,969,814,742,56
681,55645,log0,970,815,743,56
682,55705,log0,971,816,744,56
683,55765,log0,972,817,745,56
684,55825,log0,973,818,746,56
685,55885,log0,974,819,747,56
686,55945,log0,975,820,748,56
687,56005,log0,976,821,749,56
688,56065,log0,977,822,750,56
689,56125,log0,978,823,751,56
690,56185,log0,979,824,752,56
691,56245,log0,980,825,753,56
692,56305,log0,981,826,754,56
693,56365,log0,982,827,755,56
694,56425,log0,983,828,756,56
695,56485,log0,984,829,756,57
696,56545,log0,985,830,757,57
697,56605,log0,986,831,758,57
698,56665,log0,987,832,759,57
699,56725,log0,988,833,760,57
700,56785,log0,989,834,761,57
701,56845,log0,990,835,762,57
702,56905,log0,991,836,763,57
703,56965,log0,992,837,764,57
704,57025,log0,993,838,765,57
705,57085,log0,994,839,766,57
706,57145,log0,995,840,767,57
707,57205,log0,996,841,768,57
708,57265,log0,997,842,769,57
709,57325,log0,998,843,770,57
710,57385,log0,999,844,771,57
711,57445,log0,1000,845,772,57
712,57505,log0,1001,846,773,57
713,57565,log0,1002,847,774,57
714,57625,log0,1003,848,775,57
715,57685,log0,1004,849,776,57
716,57745,log0,1005,850,777,57
717,57805,log0,1006,851,778,57
718,57865,log0,1007,852,779,57
719,57925,log0,1008,853,780,57
720,57985,log0,1009,854,781,57
721,58045,log0,1010,855,782,57
722,58105,log0,1011,856,783,57
723,58165,log0,1012,857,784,57
724,58225,log0,1013,858,785,57
725,58285,log0,1014,859,786,57
726,58345,log0,1015,860,787,57
727,58405,log0,1016,861,788,57
728,58465,log0,1017,862,789,57
729,58525,log0,1018,863,790,57
730,58585,log0,1019,864,791,57
731,58645,log0,1020,865,792,57
732,58705,log0,1021,866,793,57
733,58765,log0,1022,867,794,57
734,58825,log0,1023,868,795,57
735,58885,log0,1024,869,796,57
736,58945,log0,1025,870,797,57
737,59005,log0,1026,871,798,57
738,59065,log0,1027,872,799,57
739,59125,log0,1028,873,800,57
740,59185,log0,1029,874,801,57
741,59245,log0,1030,875,802,57
742,59305,log0,1031,876,803,57
743,59365,log0,1032,877,804,57
744,59425,log0,1033,878,805,57
745,59485,log0,1034,879,806,57
746,59545,log0,1035,880,807,57
747,59605,log0,1036,881,808,57
748,59665,log0,1037,882,809,57
749,59725,log0,1038,883,810,57
750,59785,log0,1039,884,811,57
751,59845,log0,1040,885,812,57
752,59905,log0,1041,886,813,57
753,59965,log0,1042,887,814,57
754,60025,log0,1043,888,815,57
755,60085,log0,1044,889,816,57
756,60145,log0,1045,890,817,57
757,60205,log0,1046,891,818,57
758,60265,log0,1047,892,819,57
759,60325,log0,1048,893,820,57
760,60385,log0,1049,894,821,57
761,60445,log0,1050,895,822,57
762,60505,log0,1051,896,823,57
763,60565,log0,1052,897,824,57
764,60625,log0,1053,898,825,57
765,60685,log0,1054,899,826,57
766,60745,log0,1055,900,827,57
767,60805,log0,1056,901,828,57
768,60865,log0,1057,902,829,57
769,60925,log0,1058,903,830,57
770,60985,log0,1059,904,831,57
771,61045,log0,1060,905,832,57
772,61105,log0,1061,906,833,57
773,61165,log0,1062,907,834,57
774,61225,log0,1063,908,835,57
775,61285,log0,1064,909,836,57
776,61345,log0,1065,910,837,57
777,61405,log0,1066,911,838,57
778,61465,log0,1067,912,839,57
