Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7,T
99,101.5996552,83,83.63917542,222,217.2256165,172,175.3981628,21.42
107,109.8221283,87,79.30808258,227,233.2043152,175,178.3995209,21.48
108,111.6320724,89,78.31387329,233,237.7511902,182,181.4793091,21.54
114,114.1667633,89,77.54446411,236,243.3315277,184,185.2779083,21.6
114,117.6420898,92,77.01255798,241,246.0809784,179,188.5770416,21.66
118,118.0798874,88,75.12084961,243,250.0126038,178,189.1756592,21.72
118,117.5821762,87,75.12084961,248,252.3594055,178,189.1756592,21.78
120,117.5585632,86,73.79598236,252,256.9059753,179,210.6983185,21.84
120,121.5839767,87,73.79598236,258,256.9059753,190,210.5543213,21.9
117,121.5839767,87,73.79598236,262,260.3254089,193,209.5174561,21.96
117,121.3611069,85,73.79598236,261,261.4950867,193,209.5174561,22.02
126,121.3209686,83,73.79598236,264,271.9406433,196,220.5195923,22.08
126,130.1292877,82,69.91952515,268,274.3502808,201,223.1085052,22.14
132,132.7404785,80,69.61851501,273,276.0257874,200,224.8695221,22.2
132,134.0400696,84,69.25976563,273,279.183136,205,228.5270233,22.26
136,136.0671692,81,69.67169952,272,280.6743774,202,230.6109161,22.32
136,136.3034668,81,68.70036316,276,280.6743774,205,227.3781281,22.38
136,138.1860504,81,68.51262665,278,282.4299011,211,227.7752686,22.44
136,138.1860504,81,68.51262665,280,283.4553833,205,227.7752686,22.5
135,138.1860504,76,68.51262665,279,283.4553833,208,227.7752686,22.56
135,138.7236786,79,68.51262665,281,287.199585,209,232.6431732,22.62
138,142.6964874,79,69.10839081,280,288.0770874,209,234.227478,22.68
138,143.4038544,75,68.55941772,282,288.5964355,214,234.5476685,22.74
